aave	Assist with Aave lending, borrowing, liquidations, and risk management across chains.
windows	Windows-specific patterns, security practices, and operational traps that cause silent failures.
wireguard	Configure WireGuard VPN tunnels with secure routing and key management.
wishlist	Build a personal wishlist system for capturing wants, tracking prices, and smart purchasing decisions.
word	Control Word app sessions, documents, selections, comments, export, and review state with osascript workflows.
word-docx	Create, inspect, and edit Microsoft Word documents and DOCX files with reliable styles, numbering, tracked changes, tables, sections, and compatibility checks.
work	Navigate office work with professional communication, meeting prep, workplace dynamics, and visibility tactics.
workflow	Build automated pipelines with reusable components, data flow between nodes, and state management.
workouts	Build a personal workout tracking system with exercises, routines, progression, and PRs.
write	Plan, draft, version, and refine written content with enforced versioning and quality audits.
writer	Fix AI writing patterns that create repetitive and robotic content
writing	Adapt to writing voice, improve clarity, and remember style preferences across sessions.
xcode	Avoid common Xcode mistakes, signing issues, build settings traps, and cache corruption fixes.
xml	Parse, generate, and transform XML with correct namespace handling and encoding.
xrp	Assist with XRP transactions, destination tags, reserves, and XRPL features.
yahoo	Use Yahoo Finance for quotes, symbol search, watchlists, market briefs, and catalyst-aware stock decisions.
yaml	Write valid YAML that parses predictably across languages and versions.
yelp	Search Yelp businesses and reviews, compare local options, and audit listing quality with official APIs, public pages, and safe action boundaries.
yoga	Yoga instruction, pose alignment, sequencing, breathwork, and modifications for different levels.
youtube-video-transcript	Fetch, summarize, and save YouTube transcripts with timestamp navigation, chapter detection, and searchable content.
zapier	Complete Zapier automation with Zaps, Tables, Interfaces, webhooks, REST Hooks API, and 6000+ app integrations.
zendesk	Manage Zendesk tickets, users, and support workflows with API integration and automation.
zero-based-budgeting	Assigning every dollar a job before the month starts so income minus expenses equals zero.
zigbee	Deploy and troubleshoot Zigbee mesh networks for home automation.
zillow	Navigate Zillow for buying, selling, investing, and market research with Zestimate interpretation, pricing strategy, and ROI analysis.
